Routing tables

Internet:
Destination        Gateway            Flags               Netif Expire
192.168.1.237      link#11            UHLWI                 en0      !
192.168.1.238      link#11            UHLWI                 en0      !
192.168.1.239      link#11            UHLWI                 en0      !
192.168.1.240      link#11            UHLWI                 en0      !
192.168.1.241      link#11            UHLWI                 en0      !
192.168.1.242      link#11            UHLWI                 en0      !
192.168.1.243      link#11            UHLWI                 en0      !
192.168.1.244      link#11            UHLWI                 en0      !
192.168.1.245      link#11            UHLWI                 en0      !
192.168.1.246      link#11            UHLWI                 en0      !
192.168.1.247      link#11            UHLWI                 en0      !
192.168.1.248      link#11            UHLWI                 en0      !
192.168.1.249      link#11            UHLWI                 en0      !
192.168.1.250      link#11            UHLWI                 en0      !
192.168.1.251      link#11            UHLWI                 en0      !
192.168.1.252      link#11            UHLWI                 en0      !
192.168.1.253      link#11            UHLWI                 en0      !
192.168.1.254      link#11            UHLWI                 en0      !
192.168.1.255      ff:ff:ff:ff:ff:ff  UHLWbI                en0      !
224.0.0/4          link#11            UmCS                  en0      !
224.0.0/4          link#22            UmCSI               utun6       
224.0.0.251        1:0:5e:0:0:fb      UHmLWI                en0       
239.255.255.250    1:0:5e:7f:ff:fa    UHmLWI                en0       
255.255.255.255/32 link#11            UCS                   en0      !
255.255.255.255/32 link#22            UCSI                utun6       

Internet6:
Destination                             Gateway                                 Flags               Netif Expire
default                                 fe80::7a67:eff:fe60:f883%en0            UGcg                  en0       
default                                 fe80::%utun0                            UGcIg               utun0       
default                                 fe80::%utun1                            UGcIg               utun1       
default                                 fe80::%utun2                            UGcIg               utun2       
default                                 fe80::%utun3                            UGcIg               utun3       
default                                 2607:fb91:79fa:779a::                   UGcIg              ipsec0       
default                                 fe80::%utun4                            UGcIg               utun4       
default                                 fe80::%utun5                            UGcIg               utun5       
::1                                     ::1                                     UHL                   lo0       
2600:4040:a7ea:ca00::/64                link#11                                 UC                    en0       
2600:4040:a7ea:ca00::/56                fe80::7a67:eff:fe60:f883%en0            UGc                   en0       
2600:4040:a7ea:ca00::1                  78:67:e:60:f8:83                        UHLWIi                en0       
2600:4040:a7ea:ca00:9:10eb:324e:c7dc    a6:cc:1:f7:a2:d3                        UHL                   lo0       
2600:4040:a7ea:ca00:853:63b6:c30a:e310  a8:51:ab:4:69:54                        UHLWIi                en0       
2600:4040:a7ea:ca00:cac:85b0:718b:f114  8a:47:6b:38:33:8b                       UHLWI                 en0       
2600:4040:a7ea:ca00:cbd:ffef:a1cb:c091  8a:47:6b:38:33:8b                       UHLWI                 en0       
2600:4040:a7ea:ca00:2027:e22e:6320:edb  a6:cc:1:f7:a2:d3                        UHL                   lo0       
2600:4040:a7ea:ca00:d524:beaa:7681:9646 a8:51:ab:4:69:54                        UHLWI                 en0       
2600:4040:a7ea:ca00:d5a3:7bfb:3401:afe8 4e:f2:73:ac:c5:15                       UHLWI                 en0       
2600:4040:a7ea:ca00:f089:fc86:e68e:d858 link#11                                 UHLWI                 en0       
2607:fb91:79fa:779a::/64                fe80::90e3:39db:27ad:59a1%ipsec0        Uc                 ipsec0       
2607:fb91:79fa:779a:fea2:71f4:8030:b1ed link#19                                 UHL                   lo0       
fe80::%lo0/64                           fe80::1%lo0                             UcI                   lo0       
fe80::1%lo0                             link#1                                  UHLI                  lo0       
fe80::%en0/64                           link#11                                 UCI                   en0       
fe80::e:f9e8:afd:466f%en0               a8:51:ab:4:69:54                        UHLWI                 en0       
fe80::43a:f351:3e0a:76b3%en0            a6:cc:1:f7:a2:d3                        UHLI                  lo0       
fe80::1430:2379:dbf7:793c%en0           8a:47:6b:38:33:8b                       UHLWIi                en0       
fe80::1492:5554:687f:3895%en0           4e:f2:73:ac:c5:15                       UHLWIi                en0       
fe80::7a67:eff:fe60:f883%en0            78:67:e:60:f8:83                        UHLWIir               en0       
fe80::185d:76ff:fedd:4fb6%awdl0         1a:5d:76:dd:4f:b6                       UHLI                  lo0       
fe80::185d:76ff:fedd:4fb6%llw0          1a:5d:76:dd:4f:b6                       UHLI                  lo0       
fe80::%utun0/64                         fe80::344c:3f21:f860:f691%utun0         UcI                 utun0       
fe80::344c:3f21:f860:f691%utun0         link#15                                 UHLI                  lo0       
fe80::%utun1/64                         fe80::5460:1cdc:582e:5740%utun1         UcI                 utun1       
fe80::5460:1cdc:582e:5740%utun1         link#16                                 UHLI                  lo0       
fe80::%utun2/64                         fe80::36f6:c3d9:182a:427a%utun2         UcI                 utun2       
fe80::36f6:c3d9:182a:427a%utun2         link#17                                 UHLI                  lo0       
fe80::%utun3/64                         fe80::ce81:b1c:bd2c:69e%utun3           UcI                 utun3       
fe80::ce81:b1c:bd2c:69e%utun3           link#18                                 UHLI                  lo0       
fe80::%ipsec0/64                        fe80::90e3:39db:27ad:59a1%ipsec0        UcI                ipsec0       
fe80::90e3:39db:27ad:59a1%ipsec0        link#19                                 UHLI                  lo0       
fe80::%utun4/64                         fe80::2de0:f79a:8183:8269%utun4         UcI                 utun4       
fe80::2de0:f79a:8183:8269%utun4         link#20                                 UHLI                  lo0       
fe80::%utun5/64                         fe80::a7f2:394b:d3b2:41e7%utun5         UcI                 utun5       
fe80::a7f2:394b:d3b2:41e7%utun5         link#21                                 UHLI                  lo0       
ff00::/8                                ::1                                     UmCI                  lo0       
ff00::/8                                link#11                                 UmCI                  en0       
ff00::/8                                link#13                                 UmCI                awdl0       
ff00::/8                                link#14                                 UmCI                 llw0       
ff00::/8                                fe80::344c:3f21:f860:f691%utun0         UmCI                utun0       
ff00::/8                                fe80::5460:1cdc:582e:5740%utun1         UmCI                utun1       
ff00::/8                                fe80::36f6:c3d9:182a:427a%utun2         UmCI                utun2       
ff00::/8                                fe80::ce81:b1c:bd2c:69e%utun3           UmCI                utun3       
ff00::/8                                fe80::90e3:39db:27ad:59a1%ipsec0        UmCI               ipsec0       
ff00::/8                                fe80::2de0:f79a:8183:8269%utun4         UmCI                utun4       
ff00::/8                                fe80::a7f2:394b:d3b2:41e7%utun5         UmCI                utun5       
ff01::%lo0/32                           ::1                                     UmCI                  lo0       
ff01::%en0/32                           link#11                                 UmCI                  en0       
ff01::%utun0/32                         fe80::344c:3f21:f860:f691%utun0         UmCI                utun0       
ff01::%utun1/32                         fe80::5460:1cdc:582e:5740%utun1         UmCI                utun1       
ff01::%utun2/32                         fe80::36f6:c3d9:182a:427a%utun2         UmCI                utun2       
ff01::%utun3/32                         fe80::ce81:b1c:bd2c:69e%utun3           UmCI                utun3       
ff01::%ipsec0/32                        fe80::90e3:39db:27ad:59a1%ipsec0        UmCI               ipsec0       
ff01::%utun4/32                         fe80::2de0:f79a:8183:8269%utun4         UmCI                utun4       
ff01::%utun5/32                         fe80::a7f2:394b:d3b2:41e7%utun5         UmCI                utun5       
ff02::%lo0/32                           ::1                                     UmCI                  lo0       
ff02::%en0/32                           link#11                                 UmCI                  en0       
ff02::%utun0/32                         fe80::344c:3f21:f860:f691%utun0         UmCI                utun0       
ff02::%utun1/32                         fe80::5460:1cdc:582e:5740%utun1         UmCI                utun1       
ff02::%utun2/32                         fe80::36f6:c3d9:182a:427a%utun2         UmCI                utun2       
ff02::%utun3/32                         fe80::ce81:b1c:bd2c:69e%utun3           UmCI                utun3       
ff02::%ipsec0/32                        fe80::90e3:39db:27ad:59a1%ipsec0        UmCI               ipsec0       
ff02::%utun4/32                         fe80::2de0:f79a:8183:8269%utun4         UmCI                utun4       
ff02::%utun5/32                         fe80::a7f2:394b:d3b2:41e7%utun5         UmCI                utun5       
